Feature Name,Feature Rank,Was Selected,Feature Importance
HPA057142_SBA1_rep1,167,False,
HPA075201_SBA4_rep1,168,False,
HPA061383_SBA1_rep1,169,False,
HPA008126_SBA3_rep1,170,False,
HPA039785_SBA3_rep1,171,False,
HPA040264_SBA1_rep1,172,False,
HPA024006_SBA1_rep1,173,False,
HPA017957_SBA4_rep1,174,False,
HPA001522_SBA4_rep1,175,False,
HPA066055_SBA3_rep1,176,False,
HPA032081_SBA3_rep1,177,False,
HPA069609_SBA1_rep1,178,False,
HPA058481_SBA2_rep1,179,False,
HPA000905_SBA2_rep1,180,False,
HPA014272_SBA3_rep1,181,False,
HPA006660_SBA3_rep1,182,False,
HPA071263_SBA4_rep1,183,False,
HPA017917_SBA1_rep1,184,False,
HPA028997_SBA2_rep1,185,False,
HPA064801_SBA3_rep1,186,False,
HPA004177_SBA4_rep1,187,False,
HPA001425_SBA2_rep1,188,False,
HPA044540_SBA3_rep1,189,False,
HPA046972_SBA3_rep1,190,False,
HPA076843_SBA3_rep1,191,False,
HPA073918_SBA3_rep1,192,False,
HPA041487_SBA3_rep1,193,False,
HPA007494_SBA1_rep1,194,False,
HPA047213_SBA4_rep1,195,False,
HPA040323_SBA1_rep1,196,False,
HPA014295_SBA2_rep1,197,False,
HPA077819_SBA2_rep1,198,False,
HPA006965_SBA4_rep1,199,False,
HPA010638_SBA3_rep1,200,False,
HPA043368_SBA1_rep1,201,False,
HPA057596_SBA4_rep1,202,False,
HPA041884_SBA3_rep1,203,False,
HPA066899_SBA3_rep1,204,False,
HPA058603_SBA4_rep1,205,False,
HPA000685_SBA2_rep1,206,False,
HPA049627_SBA2_rep1,207,False,
HPA029270_SBA4_rep1,208,False,
HPA055202_SBA2_rep1,209,False,
HPA023739_SBA4_rep1,210,False,
HPA030505_SBA1_rep1,211,False,
HPA071013_SBA2_rep1,212,False,
HPA073138_SBA1_rep1,213,False,
HPA035863_SBA4_rep1,214,False,
HPA048982_SBA4_rep1,215,False,
HPA026810_SBA2_rep1,216,False,
HPA053928_SBA1_rep1,217,False,
HPA039325_SBA1_rep1,218,False,
HPA059859_SBA1_rep1,219,False,
HPA014245_SBA1_rep1,220,False,
HPA029944_SBA2_rep1,221,False,
HPA046419_SBA4_rep1,222,False,
HPA051620_SBA4_rep1,223,False,
HPA064978_SBA1_rep1,224,False,
HPA049793_SBA1_rep1,225,False,
HPA003901_SBA4_rep1,226,False,
HPA047839_SBA1_rep1,227,False,
HPA041222_SBA1_rep1,228,False,
HPA037645_SBA1_rep1,229,False,
HPA068399_SBA1_rep1,230,False,
HPA038097_SBA1_rep1,231,False,
HPA054862_SBA4_rep1,232,False,
HPA018297_SBA2_rep1,233,False,
HPA017916_SBA1_rep1,234,False,
HPA044186_SBA4_rep1,235,False,
HPA029635_SBA1_rep1,236,False,
HPA026322_SBA2_rep1,237,False,
HPA030868_SBA1_rep1,238,False,
HPA026430_SBA4_rep1,239,False,
HPA049320_SBA4_rep1,240,False,
HPA024299_SBA2_rep1,241,False,
HPA051856_SBA1_rep1,242,False,
HPA029480_SBA2_rep1,243,False,
HPA029698_SBA1_rep1,244,False,
HPA006554_SBA1_rep1,245,False,
HPA007305_SBA1_rep1,246,False,
HPA036898_SBA1_rep1,247,False,
HPA036107_SBA1_rep1,248,False,
HPA071456_SBA3_rep1,249,False,
HPA030491_SBA2_rep1,250,False,
HPA029058_SBA1_rep1,251,False,
HPA035982_SBA1_rep1,252,False,
HPA042131_SBA4_rep1,253,False,
HPA001610_SBA3_rep1,254,False,
HPA030929_SBA1_rep1,255,False,
HPA003221_SBA3_rep1,256,False,
HPA030420_SBA1_rep1,257,False,
HPA007556_SBA3_rep1,258,False,
HPA046964_SBA3_rep1,259,False,
HPA018304_SBA2_rep1,260,False,
HPA039291_SBA1_rep1,261,False,
HPA013616_SBA3_rep1,262,False,
HPA028587_SBA2_rep1,263,False,
HPA009025_SBA1_rep1,264,False,
HPA047881_SBA4_rep1,265,False,
HPA054959_SBA3_rep1,266,False,
HPA035241_SBA1_rep1,267,False,
HPA054787_SBA3_rep1,268,False,
HPA006949_SBA4_rep1,269,False,
HPA005537_SBA1_rep1,270,False,
HPA028971_SBA1_rep1,271,False,
HPA007041_SBA2_rep1,272,False,
HPA017287_SBA2_rep1,273,False,
HPA006872_SBA2_rep1,274,False,
HPA036302_SBA1_rep1,275,False,
HPA041086_SBA4_rep1,276,False,
HPA040692_SBA1_rep1,277,False,
HPA003412_SBA3_rep1,278,False,
HPA050069_SBA1_rep1,279,False,
HPA017254_SBA3_rep1,280,False,
HPA030278_SBA1_rep1,281,False,
HPA075088_SBA1_rep1,282,False,
HPA011165_SBA3_rep1,283,False,
HPA005992_SBA3_rep1,284,False,
HPA034607_SBA1_rep1,285,False,
HPA041426_SBA3_rep1,286,False,
HPA038515_SBA1_rep1,287,False,
HPA064231_SBA3_rep1,288,False,
HPA019136_SBA2_rep1,289,False,
HPA027806_SBA4_rep1,290,False,
HPA016607_SBA1_rep1,291,False,
HPA002266_SBA3_rep1,292,False,
HPA041602_SBA1_rep1,293,False,
HPA001538_SBA4_rep1,294,False,
HPA056108_SBA1_rep1,295,False,
HPA064736_SBA3_rep1,296,False,
HPA046428_SBA4_rep1,297,False,
HPA057021_SBA3_rep1,298,False,
HPA031966_SBA1_rep1,299,False,
HPA063369_SBA3_rep1,300,False,
HPA059667_SBA1_rep1,301,False,
HPA068012_SBA3_rep1,302,False,
HPA061424_SBA1_rep1,303,False,
HPA063737_SBA1_rep1,304,False,
HPA050884_SBA4_rep1,305,False,
HPA069945_SBA3_rep1,306,False,
HPA003628_SBA1_rep1,307,False,
HPA030899_SBA1_rep1,308,False,
HPA064954_SBA1_rep1,309,False,
HPA042303_SBA3_rep1,310,False,
HPA041994_SBA4_rep1,311,False,
HPA071177_SBA1_rep1,312,False,
HPA035981_SBA2_rep1,313,False,
HPA066229_SBA1_rep1,314,False,
HPA059515_SBA3_rep1,315,False,
HPA073310_SBA4_rep1,316,False,
HPA010919_SBA2_rep1,317,False,
HPA049231_SBA3_rep1,318,False,
HPA040797_SBA2_rep1,319,False,
HPA041183_SBA4_rep1,320,False,
HPA037603_SBA1_rep1,321,False,
HPA030689_SBA1_rep1,322,False,
HPA001328_SBA1_rep1,323,False,
HPA079244_SBA2_rep1,324,False,
HPA065983_SBA3_rep1,325,False,
HPA019829_SBA3_rep1,326,False,
HPA027366_SBA2_rep1,327,False,
HPA057036_SBA3_rep1,328,False,
HPA071883_SBA1_rep1,329,False,
HPA002832_SBA4_rep1,330,False,
HPA062683_SBA1_rep1,331,False,
HPA035147_SBA4_rep1,332,False,
HPA075911_SBA1_rep1,333,False,
HPA068625_SBA3_rep1,334,False,
HPA066795_SBA1_rep1,335,False,
HPA048459_SBA3_rep1,336,False,
HPA026441_SBA2_rep1,337,False,
HPA049292_SBA3_rep1,338,False,
HPA053905_SBA1_rep1,339,False,
HPA019367_SBA3_rep1,340,False,
HPA071067_SBA4_rep1,341,False,
HPA064033_SBA3_rep1,342,False,
HPA059806_SBA1_rep1,343,False,
HPA059704_SBA3_rep1,344,False,
HPA006198_SBA1_rep1,345,False,
HPA023977_SBA2_rep1,346,False,
HPA028185_SBA2_rep1,347,False,
HPA050392_SBA1_rep1,348,False,
HPA019654_SBA2_rep1,349,False,
HPA040052_SBA4_rep1,350,False,
HPA041542_SBA4_rep1,351,False,
HPA044582_SBA4_rep1,352,False,
HPA002990_SBA3_rep1,353,False,
HPA012047_SBA1_rep1,354,False,
HPA020518_SBA2_rep1,355,False,
HPA057792_SBA1_rep1,356,False,
HPA005724_SBA3_rep1,357,False,
HPA006360_SBA1_rep1,358,False,
HPA045702_SBA4_rep1,359,False,
HPA053140_SBA3_rep2,360,False,
HPA056838_SBA1_rep1,361,False,
HPA066095_SBA1_rep1,362,False,
HPA004182_SBA1_rep1,363,False,
HPA066898_SBA2_rep1,364,False,
HPA017959_SBA1_rep1,365,False,
HPA055490_SBA2_rep1,366,False,
HPA063793_SBA1_rep1,367,False,
HPA008395_SBA2_rep1,368,False,
HPA064946_SBA1_rep1,369,False,
HPA015584_SBA2_rep1,370,False,
HPA066703_SBA1_rep1,371,False,
HPA026809_SBA2_rep1,372,False,
HPA069327_SBA1_rep1,373,False,
HPA049550_SBA2_rep1,374,False,
HPA007119_SBA1_rep1,375,False,
HPA073827_SBA2_rep1,376,False,
HPA070841_SBA1_rep1,377,False,
HPA051694_SBA2_rep1,378,False,
HPA069474_SBA1_rep1,379,False,
HPA001671_SBA4_rep1,380,False,
Empty_SBA4_rep1,381,False,
HPA051256_SBA3_rep1,382,False,
HPA066218_SBA3_rep1,383,False,
HPA040591_SBA3_rep1,384,False,
HPA068951_SBA1_rep1,385,False,
HPA050998_SBA3_rep1,386,False,
HPA072123_SBA1_rep1,387,False,
HPA073213_SBA3_rep1,388,False,
HPA067760_SBA1_rep1,389,False,
HPA051895_SBA3_rep1,390,False,
HPA075175_SBA1_rep1,391,False,
HPA001914_SBA1_rep1,392,False,
HPA076029_SBA4_rep1,393,False,
HPA021230_SBA3_rep1,394,False,
HPA052621_SBA1_rep1,395,False,
HPA021337_SBA3_rep1,396,False,
HPA003941_SBA1_rep1,397,False,
HPA046960_SBA3_rep1,398,False,
HPA054811_SBA1_rep1,399,False,
HPA063169_SBA3_rep1,400,False,
HPA062890_SBA1_rep1,401,False,
HPA040652_SBA1_rep1,402,False,
HPA004794_SBA3_rep1,403,False,
HPA008786_SBA3_rep1,404,False,
HPA024661_SBA1_rep1,405,False,
HPA008422_SBA1_rep1,406,False,
HPA067430_SBA1_rep1,407,False,
HPA063142_SBA1_rep1,408,False,
HPA060030_SBA1_rep1,409,False,
HPA018795_SBA2_rep1,410,False,
HPA050843_SBA3_rep1,411,False,
HPA028414_SBA2_rep1,412,False,
HPA016564_SBA2_rep1,413,False,
HPA004890_SBA2_rep1,414,False,
HPA006493_SBA3_rep1,415,False,
HPA004749_SBA1_rep1,416,False,
HPA008425_SBA3_rep1,417,False,
HPA066836_SBA1_rep1,418,False,
HPA008001_SBA3_rep1,419,False,
HPA008918_SBA4_rep1,420,False,
HPA001410_SBA3_rep1,421,False,
HPA066302_SBA1_rep1,422,False,
HPA068925_SBA1_rep1,423,False,
HPA002803_SBA2_rep1,424,False,
HPA005823_SBA3_rep1,425,False,
HPA025967_SBA2_rep1,426,False,
HPA067249_SBA3_rep1,427,False,
HPA024470_SBA2_rep1,428,False,
HPA064640_SBA3_rep1,429,False,
HPA019522_SBA2_rep1,430,False,
HPA060707_SBA3_rep1,431,False,
HPA027144_SBA2_rep1,432,False,
HPA053194_SBA3_rep1,433,False,
HPA028549_SBA2_rep1,434,False,
HPA003280_SBA3_rep1,435,False,
HPA003909_SBA3_rep1,436,False,
HPA002981_SBA3_rep1,437,False,
HPA039227_SBA1_rep1,438,False,
HPA039695_SBA1_rep1,439,False,
HPA041524_SBA2_rep1,440,False,
HPA046431_SBA3_rep1,441,False,
HPA010631_SBA3_rep1,442,False,
HPA044090_SBA1_rep1,443,False,
HPA028827_SBA2_rep1,444,False,
HPA008455_SBA3_rep1,445,False,
HPA020952_SBA2_rep1,446,False,
HPA043343_SBA3_rep1,447,False,
HPA011029_SBA3_rep1,448,False,
HPA034749_SBA1_rep1,449,False,
HPA021407_SBA2_rep1,450,False,
HPA045409_SBA2_rep1,451,False,
HPA046135_SBA4_rep1,452,False,
HPA014326_SBA4_rep1,453,False,
HPA038241_SBA1_rep1,454,False,
HPA071467_SBA3_rep1,455,False,
HPA066235_SBA1_rep1,456,False,
HPA058123_SBA3_rep1,457,False,
HPA005835_SBA3_rep1,458,False,
HPA061223_SBA1_rep1,459,False,
