Feature_Name,Num_Missing,Percentage_Missing,Median,Mean,Variance,Min,Max
Age,4,0.016666666666666666,6.9994490075290905,7.334680245710508,3.8169310603785136,4.02,13.5
HPA029005_SBA1_rep1,1,0.004166666666666667,12.3416161377285,12.356913631301097,0.007363354918881634,12.1793798585965,12.9338609297471
HPA053793_SBA1_rep1,3,0.0125,12.3558288782786,12.35710370953663,0.0033487525309143476,12.1879930314163,12.5646583822593
HPA036540_SBA1_rep1,1,0.004166666666666667,12.2583117078445,12.251666177695054,0.007338858690017309,11.9961789267804,12.9652851802333
HPA048684_SBA1_rep1,2,0.008333333333333333,12.2504414371869,12.24061448978376,0.005839587878452846,11.721686853703,12.4040676767909
HPA029304_SBA1_rep1,1,0.004166666666666667,12.3035085021036,12.294998381131926,0.0052584150117248275,11.5911283921862,12.6981375160216
HPA038892_SBA1_rep1,2,0.008333333333333333,12.292115179149999,12.303164034860226,0.004493713027026383,12.1446227443016,12.9180021123411
HPA030048_SBA1_rep1,2,0.008333333333333333,12.25612519235355,12.246539427907942,0.007652832282732735,11.4676109640932,12.4023968591635
HPA001079_SBA1_rep1,1,0.004166666666666667,12.3660452249897,12.353870974451423,0.005089803661101038,11.6177813263968,12.4668173370362
HPA030582_SBA1_rep1,1,0.004166666666666667,12.4473675087665,12.471764276501373,0.010991464148145945,12.1213135133222,12.8207792292117
HPA000898_SBA1_rep1,1,0.004166666666666667,12.3606654284091,12.358378054192448,0.0035647551505801705,11.6961054126506,12.5174294945474
HPA039363_SBA1_rep1,1,0.004166666666666667,12.5019625140752,12.49949714953468,0.011396337347511023,11.5776965300949,12.8617689811452
HPA036647_SBA1_rep1,14,0.058333333333333334,12.250392631591051,12.247403055982698,0.008159762977495889,11.5094529796292,12.4990126773493
HPA059367_SBA1_rep1,2,0.008333333333333333,12.514865982029999,12.5393547011286,0.014413371126361037,11.8579658789054,12.8811471320068
HPA068768_SBA1_rep1,126,0.525,12.9688848960817,12.969682279718702,0.05315330919526756,11.747013748832,13.6295608896514
HPA069515_SBA1_rep1,44,0.18333333333333332,12.321719803324651,12.305293791631685,0.013960324659337268,11.3080222284155,12.5626839227659
