Feature_Name,Num_Missing,Percentage_Missing,Median,Mean,Variance,Min,Max
Age,6,0.025,7.01,7.317953874174875,3.631799401625681,4.02,13.5
HPA029005_SBA1_rep1,1,0.004166666666666667,12.34341115809185,12.357196444274706,0.006889350835425065,12.1793798585965,12.9338609297471
HPA053793_SBA1_rep1,3,0.0125,12.35477777191635,12.35526139806314,0.00339177745553983,12.1488164823635,12.5646583822593
HPA036540_SBA1_rep1,1,0.004166666666666667,12.254884070677349,12.249814466232163,0.006899781012827858,11.9961789267804,12.9652851802333
HPA048684_SBA1_rep1,2,0.008333333333333333,12.2501670766651,12.24043068118937,0.0056437743277632894,11.721686853703,12.4040676767909
HPA029304_SBA1_rep1,1,0.004166666666666667,12.3043983541649,12.295877934831308,0.0046181719418122245,11.5911283921862,12.6981375160216
HPA038892_SBA1_rep1,2,0.008333333333333333,12.2919616613372,12.301243606877366,0.0040949208951884565,12.1446227443016,12.9180021123411
HPA030048_SBA1_rep1,2,0.008333333333333333,12.2545339593637,12.248093865873786,0.006929626683861203,11.4676109640932,12.4023968591635
HPA001079_SBA1_rep1,1,0.004166666666666667,12.365583250673751,12.35415152710208,0.00450716332862928,11.6177813263968,12.4668173370362
HPA030582_SBA1_rep1,1,0.004166666666666667,12.4477591265313,12.47269952552743,0.011208093746720252,12.1213135133222,12.8741664489963
HPA000898_SBA1_rep1,1,0.004166666666666667,12.36004710494065,12.358441495179516,0.003275080597597436,11.6961054126506,12.5174294945474
HPA039363_SBA1_rep1,1,0.004166666666666667,12.4975234555131,12.4977598975914,0.010556820781562127,11.5776965300949,12.8617689811452
HPA036647_SBA1_rep1,17,0.07083333333333333,12.2507676901507,12.248673264641265,0.007570572915878847,11.5094529796292,12.5415348150469
HPA059367_SBA1_rep1,2,0.008333333333333333,12.5172838129601,12.541296137095344,0.014473528808574061,11.8579658789054,12.8811471320068
HPA068768_SBA1_rep1,158,0.6583333333333333,12.9607662908893,12.956228538567768,0.047618544960861,11.747013748832,13.6295608896514
HPA069515_SBA1_rep1,52,0.21666666666666667,12.3193706989041,12.306036499425636,0.01223209375210558,11.3080222284155,12.5626839227659
HPA050459_SBA1_rep1,2,0.008333333333333333,12.2580512285904,12.258091061654511,0.003475614317818999,12.0440272309581,12.4699232621562
HPA069320_SBA1_rep1,2,0.008333333333333333,12.3569343199641,12.358410578965353,0.001732735207032997,12.2440226666062,12.4835107343421
HPA063011_SBA1_rep1,1,0.004166666666666667,12.34176444000545,12.342771853962907,0.0028689019635644224,11.747013748832,12.5941934874741
HPA072453_SBA1_rep1,3,0.0125,12.33508038114285,12.361890063301294,0.010014181468510856,12.0151182885017,12.7262660020444
HPA077546_SBA1_rep1,3,0.0125,12.5787228256694,12.590542372165888,0.02182139962395442,12.2669367000428,13.1854026813021
HPA070467_SBA1_rep1,4,0.016666666666666666,12.3401871849676,12.347794030237429,0.0033542035489567664,12.2224367094971,12.6320870478333
