HPA,Num_Missing,Percentage_Missing,Var_Intensity
HPA029198_SBA1_rep1,25,0.08305647840531562,0.0029389362433254167
HPA047839_SBA1_rep1,3,0.009966777408637873,0.006869027960608922
HPA029005_SBA1_rep1,1,0.0033222591362126247,0.006889350835425065
HPA049793_SBA1_rep1,2,0.006644518272425249,0.061084448605314326
HPA014245_SBA1_rep1,1,0.0033222591362126247,0.002609530389195908
HPA053793_SBA1_rep1,3,0.009966777408637873,0.00339177745553983
HPA059859_SBA1_rep1,25,0.08305647840531562,0.01356993603031943
HPA038097_SBA1_rep1,2,0.006644518272425249,0.00971627818056732
HPA061383_SBA1_rep1,43,0.14285714285714285,0.004417492070776903
HPA039325_SBA1_rep1,3,0.009966777408637873,0.008475720102312099
HPA041222_SBA1_rep1,10,0.03322259136212625,0.06414585771215711
HPA028906_SBA1_rep1,1,0.0033222591362126247,0.028840600355847523
HPA029635_SBA1_rep1,1,0.0033222591362126247,0.0016871048915808279
HPA064978_SBA1_rep1,1,0.0033222591362126247,0.0022607405049686474
HPA030868_SBA1_rep1,1,0.0033222591362126247,0.0019486569174816733
HPA068399_SBA1_rep1,1,0.0033222591362126247,0.0034545814477737933
HPA017916_SBA1_rep1,1,0.0033222591362126247,0.0031790459855636755
HPA036540_SBA1_rep1,1,0.0033222591362126247,0.006899781012827859
HPA037645_SBA1_rep1,1,0.0033222591362126247,0.004462969539252644
HPA074638_SBA1_rep1,2,0.006644518272425249,0.007896855808125514
HPA035982_SBA1_rep1,6,0.019933554817275746,0.010065625995396371
HPA040264_SBA1_rep1,1,0.0033222591362126247,0.004255556359238255
HPA048684_SBA1_rep1,2,0.006644518272425249,0.00564377432776329
HPA051856_SBA1_rep1,1,0.0033222591362126247,0.020420009788053445
HPA029304_SBA1_rep1,1,0.0033222591362126247,0.0046181719418122245
HPA029698_SBA1_rep1,9,0.029900332225913623,0.005751299939649589
HPA029058_SBA1_rep1,2,0.006644518272425249,0.010163696331634178
HPA035241_SBA1_rep1,2,0.006644518272425249,0.014349016405726788
HPA030929_SBA1_rep1,2,0.006644518272425249,0.005418888035367996
HPA005537_SBA1_rep1,1,0.0033222591362126247,0.0571611432762166
HPA053928_SBA1_rep1,11,0.036544850498338874,0.004442294717364163
HPA037756_SBA1_rep1,1,0.0033222591362126247,0.006745356229650707
HPA038892_SBA1_rep1,2,0.006644518272425249,0.0040949208951884565
HPA040692_SBA1_rep1,1,0.0033222591362126247,0.010704951823073695
HPA050069_SBA1_rep1,9,0.029900332225913623,0.010416007828650334
HPA030278_SBA1_rep1,2,0.006644518272425249,0.004510984214236493
HPA030048_SBA1_rep1,2,0.006644518272425249,0.006929626683861203
HPA001079_SBA1_rep1,1,0.0033222591362126247,0.00450716332862928
HPA028971_SBA1_rep1,1,0.0033222591362126247,0.0034984517189693004
HPA034607_SBA1_rep1,1,0.0033222591362126247,0.012418077850703797
HPA036107_SBA1_rep1,1,0.0033222591362126247,0.008280407713425798
HPA036302_SBA1_rep1,1,0.0033222591362126247,0.0034620862152010714
HPA034631_SBA1_rep1,2,0.006644518272425249,0.0027124716350343365
HPA038515_SBA1_rep1,3,0.009966777408637873,0.008125851270356059
HPA039291_SBA1_rep1,2,0.006644518272425249,0.005880362663864197
HPA016607_SBA1_rep1,1,0.0033222591362126247,0.10428982058864329
HPA041602_SBA1_rep1,1,0.0033222591362126247,0.003943843581007594
HPA056108_SBA1_rep1,2,0.006644518272425249,0.007806061767091816
HPA031265_SBA1_rep1,1,0.0033222591362126247,0.0028517637908768378
HPA030582_SBA1_rep1,1,0.0033222591362126247,0.011208093746720252
HPA003628_SBA1_rep1,2,0.006644518272425249,0.004462194490994387
HPA000898_SBA1_rep1,1,0.0033222591362126247,0.0032750805975974365
HPA031966_SBA1_rep1,1,0.0033222591362126247,0.00393191431237063
HPA059667_SBA1_rep1,1,0.0033222591362126247,0.005978875721361711
HPA061424_SBA1_rep1,1,0.0033222591362126247,0.012857870960488476
HPA037603_SBA1_rep1,1,0.0033222591362126247,0.05438206759669247
HPA039363_SBA1_rep1,1,0.0033222591362126247,0.010556820781562126
HPA040323_SBA1_rep1,2,0.006644518272425249,0.008416774537250014
HPA030420_SBA1_rep1,3,0.009966777408637873,0.0072285477416169286
HPA068400_SBA1_rep1,17,0.05647840531561462,0.01066786168983344
HPA030689_SBA1_rep1,9,0.029900332225913623,0.024455627447838624
HPA003903_SBA1_rep1,14,0.046511627906976744,0.005611039416526224
HPA001328_SBA1_rep1,47,0.15614617940199335,0.012761317565915862
HPA030899_SBA1_rep1,2,0.006644518272425249,0.019903831648010187
HPA036647_SBA1_rep1,17,0.05647840531561462,0.007570572915878847
HPA071177_SBA1_rep1,21,0.06976744186046512,0.006860817322138174
HPA075088_SBA1_rep1,2,0.006644518272425249,0.008475027374020935
HPA059367_SBA1_rep1,2,0.006644518272425249,0.014473528808574058
HPA048592_SBA1_rep1,2,0.006644518272425249,0.005973258856139688
HPA063737_SBA1_rep1,2,0.006644518272425249,0.004792161551264514
HPA064954_SBA1_rep1,1,0.0033222591362126247,0.002854577375680021
HPA066229_SBA1_rep1,3,0.009966777408637873,0.012707845667138139
HPA068768_SBA1_rep1,158,0.5249169435215947,0.047618544960861
HPA069515_SBA1_rep1,52,0.17275747508305647,0.012232093752105577
HPA050459_SBA1_rep1,2,0.006644518272425249,0.003475614317818999
HPA056838_SBA1_rep1,2,0.006644518272425249,0.006288643611844953
HPA059806_SBA1_rep1,269,0.893687707641196,0.07105679556483711
