mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.6791666666666667,0.06400954789890506,0.7083333333333334,0.5833333333333334,0.75,0.7291666666666666,0.625
0.6916666666666667,0.04823265376162596,0.7708333333333334,0.625,0.6666666666666666,0.7083333333333334,0.6875
0.675,0.028259708263021956,0.6458333333333334,0.6458333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666
0.7375,0.05034602488997737,0.75,0.7708333333333334,0.7916666666666666,0.6458333333333334,0.7291666666666666
0.7375,0.03864007706456546,0.7708333333333334,0.75,0.7708333333333334,0.6666666666666666,0.7291666666666666
0.7,0.031180478223116155,0.7291666666666666,0.7083333333333334,0.6875,0.6458333333333334,0.7291666666666666
0.7166666666666666,0.053683744694688035,0.7916666666666666,0.6666666666666666,0.6875,0.6666666666666666,0.7708333333333334
0.7083333333333334,0.041666666666666664,0.7708333333333334,0.7083333333333334,0.6875,0.6458333333333334,0.7291666666666666
0.7083333333333333,0.02282177322938192,0.7083333333333334,0.7291666666666666,0.6666666666666666,0.7083333333333334,0.7291666666666666
0.7416666666666666,0.03632415786283895,0.8125,0.7083333333333334,0.7291666666666666,0.7291666666666666,0.7291666666666666
0.7291666666666666,0.013176156917368235,0.7291666666666666,0.7083333333333334,0.7291666666666666,0.7291666666666666,0.75
0.7333333333333333,0.015590239111558083,0.75,0.7083333333333334,0.75,0.7291666666666666,0.7291666666666666
0.7125,0.01559023911155807,0.7291666666666666,0.7083333333333334,0.6875,0.7291666666666666,0.7083333333333334
0.7166666666666667,0.02825970826302195,0.75,0.6875,0.7083333333333334,0.6875,0.75
0.7416666666666667,0.02124591463996994,0.7708333333333334,0.7083333333333334,0.7291666666666666,0.75,0.75
0.7125,0.024295632895188747,0.7291666666666666,0.6875,0.6875,0.75,0.7083333333333334
0.7333333333333333,0.04823265376162594,0.75,0.6666666666666666,0.6875,0.7916666666666666,0.7708333333333334
0.7333333333333333,0.04249182927993987,0.75,0.6666666666666666,0.7083333333333334,0.75,0.7916666666666666
0.7416666666666667,0.03118047822311615,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7916666666666666
0.7458333333333333,0.035843021946010946,0.7291666666666666,0.6875,0.75,0.7916666666666666,0.7708333333333334
0.7208333333333334,0.04289845892077919,0.7708333333333334,0.6875,0.6666666666666666,0.7708333333333334,0.7083333333333334
0.7125,0.04823265376162594,0.75,0.6458333333333334,0.6666666666666666,0.7708333333333334,0.7291666666666666
0.7291666666666667,0.05103103630798291,0.7708333333333334,0.6666666666666666,0.6666666666666666,0.7708333333333334,0.7708333333333334
