Feature Name,Feature Rank,Was Selected,Feature Importance
HPA039835_SBA4_rep1,1,True,0.06182071939110756
HPA024575_SBA4_rep1,1,True,0.05967159941792488
HPA002643_SBA3_rep1,1,True,0.05564279481768608
HPA004754_SBA4_rep1,1,True,0.034503258764743805
HPA053793_SBA1_rep1,1,True,0.032225351780653
HPA023886_SBA2_rep1,1,True,0.03107776865363121
HPA019259_SBA4_rep1,1,True,0.02938014827668667
HPA038892_SBA1_rep1,1,True,0.029001614078879356
HPA036655_SBA4_rep1,1,True,0.02743028663098812
HPA007982_SBA4_rep1,1,True,0.02520168013870716
HPA068768_SBA1_rep1,1,True,0.02500632219016552
HPA051370_SBA3_rep1,1,True,0.0249935369938612
HPA077546_SBA1_rep1,1,True,0.023964691907167435
HPA044840_SBA2_rep1,1,True,0.023269416764378548
HPA039363_SBA1_rep1,1,True,0.02253008633852005
HPA048684_SBA1_rep1,1,True,0.020111115649342537
HPA063324_SBA1_rep1,1,True,0.01983974687755108
HPA000898_SBA1_rep1,1,True,0.01702875830233097
HPA006964_SBA2_rep1,1,True,0.01664002425968647
HPA038751_SBA1_rep1,1,True,0.01620529778301716
HPA030877_SBA1_rep1,1,True,0.015500897541642189
HPA024468_SBA4_rep1,1,True,0.013248746283352375
HPA056371_SBA2_rep1,1,True,0.012639538384974003
Age,1,True,0.012447762303054333
HPA044810_SBA1_rep1,1,True,0.012294967658817768
HPA004178_SBA3_rep1,1,True,0.012230727821588516
HPA047171_SBA3_rep1,1,True,0.011862973682582378
HPA063011_SBA1_rep1,1,True,0.010914076119661331
HPA036540_SBA1_rep1,1,True,0.010548673570156097
HPA019095_SBA2_rep1,1,True,0.010328917764127254
HPA071007_SBA4_rep1,1,True,0.010206224396824837
HPA029304_SBA1_rep1,1,True,0.009823126718401909
HPA069328_SBA1_rep1,1,True,0.009357391856610775
HPA001079_SBA1_rep1,1,True,0.009140992537140846
HPA070952_SBA3_rep1,1,True,0.00895204022526741
HPA030048_SBA1_rep1,1,True,0.008816157467663288
HPA036647_SBA1_rep1,1,True,0.008647524751722813
HPA034492_SBA1_rep1,1,True,0.008243637159466743
HPA079570_SBA4_rep1,1,True,0.007761652581393719
HPA003282_SBA2_rep1,1,True,0.0076145511120557785
HPA071175_SBA4_rep1,1,True,0.007536172401160002
HPA046579_SBA2_rep1,1,True,0.007518310099840164
HPA071406_SBA2_rep1,1,True,0.0074526057578623295
HPA035029_SBA4_rep1,1,True,0.007165717426687479
HPA070283_SBA4_rep1,1,True,0.006997921038419008
HPA041390_SBA1_rep1,1,True,0.006904467474669218
HPA069515_SBA1_rep1,1,True,0.006859138607978821
HPA009680_SBA3_rep1,1,True,0.006634850520640612
HPA035661_SBA4_rep1,1,True,0.006518274080008268
HPA022271_SBA1_rep1,1,True,0.006309543736279011
HPA070467_SBA1_rep1,1,True,0.0062779150903224945
HPA043015_SBA3_rep1,1,True,0.005935967899858952
HPA005654_SBA2_rep1,1,True,0.005739973857998848
HPA067758_SBA1_rep1,1,True,0.00573776476085186
HPA008992_SBA4_rep1,1,True,0.005379636771976948
HPA063275_SBA2_rep1,1,True,0.0053610303439199924
HPA050459_SBA1_rep1,1,True,0.005335851572453976
HPA027045_SBA1_rep1,1,True,0.005279486067593098
HPA028487_SBA2_rep1,1,True,0.00527441781014204
HPA029005_SBA1_rep1,1,True,0.005168151576071978
HPA042940_SBA3_rep1,1,True,0.004827714990824461
HPA002740_SBA4_rep1,1,True,0.004525874741375446
HPA028897_SBA2_rep1,1,True,0.004253223538398743
HPA012930_SBA4_rep1,1,True,0.004244268871843815
HPA030582_SBA1_rep1,1,True,0.003606657264754176
HPA014355_SBA4_rep1,1,True,0.003264219732955098
HPA059367_SBA1_rep1,1,True,0.003261259291321039
HPA005997_SBA4_rep1,1,True,0.0032429613638669252
HPA047720_SBA3_rep1,1,True,0.0031276738736778498
HPA055478_SBA3_rep1,1,True,0.003073561703786254
HPA032001_SBA4_rep1,1,True,0.0026773163117468357
HPA011220_SBA2_rep1,1,True,0.0026742899790406227
HPA018534_SBA1_rep1,1,True,0.002465491183102131
HPA015774_SBA3_rep1,1,True,0.002243750961497426
HPA006983_SBA4_rep1,1,True,0.002088983776047826
HPA046635_SBA3_rep1,1,True,0.0018278940115123987
HPA069320_SBA1_rep1,1,True,0.0018231532303616405
HPA053470_SBA3_rep1,1,True,0.0015486659249290824
HPA052258_SBA3_rep1,1,True,0.0015228979755192995
HPA051409_SBA3_rep1,1,True,0.0014798269839957356
HPA042581_SBA3_rep1,1,True,0.0014785095117986202
HPA072453_SBA1_rep1,1,True,0.0013665780425071716
HPA010088_SBA1_rep1,1,True,0.0012664695968851447
HPA035143_SBA1_rep1,1,True,0.001261232071556151
HPA047248_SBA3_rep1,1,True,0.0012132038827985525
HPA019511_SBA4_rep1,1,True,0.0010856726439669728
HPA064686_SBA2_rep1,1,True,0.0010766756022349
HPA064870_SBA4_rep1,1,True,0.0009896705159917474
HPA054622_SBA3_rep1,1,True,0.0009703869582153857
HPA054508_SBA3_rep1,2,False,
HPA014404_SBA2_rep1,3,False,
HPA067531_SBA4_rep1,4,False,
HPA053229_SBA2_rep1,5,False,
HPA004478_SBA4_rep1,6,False,
HPA042869_SBA3_rep1,7,False,
HPA069693_SBA3_rep1,8,False,
HPA018803_SBA2_rep1,9,False,
HPA037756_SBA1_rep1,10,False,
HPA049749_SBA3_rep1,11,False,
HPA026883_SBA2_rep1,12,False,
HPA040719_SBA4_rep1,13,False,
HPA007729_SBA3_rep1,14,False,
HPA077678_SBA1_rep1,15,False,
HPA009674_SBA3_rep1,16,False,
HPA001061_SBA4_rep1,17,False,
HPA020925_SBA3_rep1,18,False,
HPA001395_SBA3_rep1,19,False,
HPA051767_SBA4_rep1,20,False,
HPA019105_SBA2_rep1,21,False,
HPA022128_SBA2_rep1,22,False,
HPA006741_SBA4_rep1,23,False,
HPA048738_SBA3_rep1,24,False,
HPA042330_SBA3_rep1,25,False,
HPA031314_SBA4_rep1,26,False,
HPA003903_SBA1_rep1,27,False,
HPA072480_SBA3_rep1,28,False,
HPA004248_SBA4_rep1,29,False,
HPA018519_SBA4_rep1,30,False,
HPA074638_SBA1_rep1,31,False,
HPA071200_SBA4_rep1,32,False,
HPA004426_SBA1_rep1,33,False,
HPA051476_SBA3_rep1,34,False,
HPA034631_SBA1_rep1,35,False,
HPA051326_SBA4_rep1,36,False,
HPA040520_SBA1_rep1,37,False,
HPA061286_SBA1_rep1,38,False,
HPA020382_SBA3_rep1,39,False,
HPA013398_SBA1_rep1,40,False,
HPA017380_SBA2_rep1,41,False,
HPA028906_SBA1_rep1,42,False,
HPA005825_SBA4_rep1,43,False,
HPA047290_SBA2_rep1,44,False,
HPA048592_SBA1_rep1,45,False,
HPA012323_SBA2_rep1,46,False,
HPA068812_SBA1_rep1,47,False,
HPA001818_SBA1_rep1,48,False,
HPA064998_SBA1_rep1,49,False,
HPA065025_SBA3_rep1,50,False,
HPA076029_SBA2_rep1,51,False,
HPA035578_SBA1_rep1,52,False,
HPA031265_SBA1_rep1,53,False,
HPA004823_SBA3_rep1,54,False,
HPA028392_SBA2_rep1,55,False,
HPA069564_SBA4_rep1,56,False,
HPA068898_SBA3_rep1,57,False,
HPA021771_SBA2_rep1,58,False,
HPA054030_SBA3_rep1,59,False,
HPA059739_SBA3_rep1,60,False,
HPA064207_SBA1_rep1,61,False,
HPA002927_SBA2_rep1,62,False,
HPA026483_SBA2_rep1,63,False,
HPA016800_SBA2_rep1,64,False,
HPA040126_SBA4_rep1,65,False,
HPA001412_SBA3_rep1,66,False,
HPA043761_SBA4_rep1,67,False,
HPA041863_SBA3_rep1,68,False,
HPA030497_SBA4_rep1,69,False,
HPA051210_SBA3_rep1,70,False,
HPA061845_SBA4_rep1,71,False,
HPA046979_SBA4_rep1,72,False,
HPA001524_SBA2_rep1,73,False,
HPA029198_SBA1_rep1,74,False,
HPA068400_SBA1_rep1,75,False,
HPA050798_SBA3_rep1,76,False,
HPA053140_SBA3_rep1,77,False,
HPA054094_SBA4_rep1,78,False,
HPA012107_SBA2_rep1,79,False,
HPA038013_SBA1_rep1,80,False,
HPA047917_SBA3_rep1,81,False,
HPA057142_SBA1_rep1,82,False,
